Title,Price,Final Price,Link
Resident Evil Village Gold Edition,34.99,41.99,https://www.instant-gaming.com/fr/13107-acheter-resident-evil-village-gold-edition-gold-edition-pc-jeu-steam/
Resident Evil 4,44.69,53.63,https://www.instant-gaming.com/fr/6772-acheter-resident-evil-4-pc-jeu-steam-europe/
Frozen Flame,12.25,14.7,https://www.instant-gaming.com/fr/13186-acheter-frozen-flame-pc-jeu-steam/
Police Simulator: Patrol Officers,21.39,25.67,https://www.instant-gaming.com/fr/9062-acheter-police-simulator-patrol-officers-pc-jeu-steam/
FIFA 23 Ultimate Edition,55.99,67.19,https://www.instant-gaming.com/fr/13352-acheter-fifa-23-ultimate-edition-ultimate-edition-pc-jeu-steam/
RimWorld - Biotech,21.2,25.44,https://www.instant-gaming.com/fr/13016-acheter-rimworld-biotech-pc-mac-jeu-steam/
Cities: Skylines - Content Creator Pack: Seaside Resorts,3.99,4.79,https://www.instant-gaming.com/fr/12893-acheter-cities-skylines-content-creator-pack-seaside-resorts-pc-mac-jeu-steam/
Blanc,9.99,11.99,https://www.instant-gaming.com/fr/13592-acheter-blanc-pc-jeu-steam/
Scars Above,25.99,31.19,https://www.instant-gaming.com/fr/12718-acheter-scars-above-pc-jeu-steam/
A Little to the Left,12.36,14.83,https://www.instant-gaming.com/fr/12720-acheter-a-little-to-the-left-pc-mac-jeu-steam/
Bob l'éponge : The Cosmic Shake,26.99,32.39,https://www.instant-gaming.com/fr/9656-acheter-bob-l-eponge-the-cosmic-shake-pc-jeu-steam/
Civilization VI : pass Dirigeants,11.99,14.39,https://www.instant-gaming.com/fr/13207-acheter-civilization-vi-pass-dirigeants-pc-mac-jeu-steam/
Knights of Honor II: Sovereign,27.99,33.59,https://www.instant-gaming.com/fr/12378-acheter-knights-of-honor-ii-sovereign-pc-jeu-steam/
Sonic Frontiers,35.99,43.19,https://www.instant-gaming.com/fr/10131-acheter-sonic-frontiers-pc-jeu-steam-europe/
Dragon Ball Z Kakarot Season Pass 2,29.99,35.99,https://www.instant-gaming.com/fr/13404-acheter-dragon-ball-z-kakarot-season-pass-2-pc-jeu-steam/
The Jackbox Party Pack 9,10.99,13.19,https://www.instant-gaming.com/fr/13098-acheter-the-jackbox-party-pack-9-pc-jeu-steam/
Ixion,22.99,27.59,https://www.instant-gaming.com/fr/9086-acheter-ixion-pc-jeu-steam-europe/
Cities: Skylines - Content Creator Pack: Mid-Century Modern,3.99,4.79,https://www.instant-gaming.com/fr/12891-acheter-cities-skylines-content-creator-pack-mid-century-modern-pc-mac-jeu-steam/
JoJo’s Bizarre Adventure: All Star Battle R,24.99,29.99,https://www.instant-gaming.com/fr/10579-acheter-jojo-s-bizarre-adventure-all-star-battle-r-pc-jeu-steam/
Soulstice,12.32,14.78,https://www.instant-gaming.com/fr/9163-acheter-soulstice-pc-jeu-steam/
Cafe Owner Simulator,10.19,12.23,https://www.instant-gaming.com/fr/13250-acheter-cafe-owner-simulator-pc-jeu-steam/
Steelrising,17.29,20.75,https://www.instant-gaming.com/fr/7258-acheter-steelrising-pc-jeu-steam/
Hi-Fi RUSH Deluxe Edition,29.59,35.51,https://www.instant-gaming.com/fr/13502-acheter-hi-fi-rush-deluxe-edition-deluxe-edition-pc-jeu-steam/
Evil West,35.32,42.38,https://www.instant-gaming.com/fr/12322-acheter-evil-west-pc-jeu-steam/
A Plague Tale: Requiem,34.39,41.27,https://www.instant-gaming.com/fr/9034-acheter-a-plague-tale-requiem-pc-jeu-steam/
Farming Simulator 22 - Pumps n' Hoses Pack,12.42,14.9,https://www.instant-gaming.com/fr/12758-acheter-farming-simulator-22-pumps-n-hoses-pack-mac-pc-jeu-steam/
Jurassic World Evolution 2: Dominion Malta Expansion,11.99,14.39,https://www.instant-gaming.com/fr/13273-acheter-jurassic-world-evolution-2-dominion-malta-expansion-pc-jeu-steam/
MechWarrior 5: Mercenaries - Rise of Rasalhague,8.89,10.67,https://www.instant-gaming.com/fr/13484-acheter-mechwarrior-5-mercenaries-rise-of-rasalhague-pc-jeu-steam/
King of Retail,11.49,13.79,https://www.instant-gaming.com/fr/7767-acheter-king-of-retail-pc-mac-jeu-steam/
